Designator,Footprint,Quantity,Value,LCSC Part #
"D_0, D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_69, D_7, D_70, D_71, D_72, D_73, D_74, D_75, D_76, D_77, D_78, D_79, D_8, D_80, D_81, D_9",D_SOD-123,82,D,
"K_0, K_1, K_10, K_11, K_12, K_13, K_14, K_15, K_16, K_17, K_18, K_19, K_2, K_21, K_22, K_23, K_24, K_25, K_26, K_27, K_28, K_29, K_3, K_30, K_31, K_32, K_34, K_35, K_36, K_37, K_39, K_4, K_40, K_41, K_42, K_43, K_44, K_45, K_46, K_47, K_48, K_49, K_5, K_51, K_52, K_53, K_54, K_56, K_57, K_58, K_59, K_6, K_60, K_61, K_62, K_63, K_64, K_65, K_67, K_68, K_69, K_7, K_70, K_8, K_80, K_81, K_9",Hotswap_MX_Plated_1.00u,67,KEYSW,
"K_20, K_33, K_79",Hotswap_MX_Plated_1.50u,3,KEYSW,
K_38,Hotswap_MX_Plated_1.75u,1,KEYSW,
"K_50, K_55",Hotswap_MX_Plated_2.25u,2,KEYSW,
K_66,Hotswap_MX_Plated_2.75u,1,KEYSW,
"K_71, K_72, K_73, K_76, K_77, K_78",Hotswap_MX_Plated_1.25u,6,KEYSW,
"K_74, K_75",Hotswap_MX_Plated_3.00u,2,KEYSW,
"U1, U2",RP2040_Zero,2,RP2040_Zero,
"U3, U4",TRRS_PJ-320A,2,TRRS,
